Project,Year,Domain
Vehicle Tracking System,2006,.net
Student help line using WAP,2006,.net
Grid Computing,2006,.net
Network Attack Simulator,2006,C
Intelligent Minor,2006,C#
Serverless video on demand,2006,Database
Online Discussion Forum ,2006,Database
Invisible Secrets,2006,Image Processing
Scalable Virtual IP tunneling server,2006,J2EE
Digital Signal Processing for mobile,2006,J2EE
Communyx,2006,Java
Software verification and parallel programming,2006,Java
Clustering of proxy server,2006,Java
Content based image retrieval,2006,Java
Content management ,2006,Java
Intelligent Administrator,2006,JDK ORACLE
Remote Query Addresser ,2007,.net
Voice Based Data Retrieval System,2007,.net
Shared Memory Management,2007,.net
"Bitmap, Indexing Based clustering and Retrieval of XML Documents ",2007,.net
Remote Spying ,2007,.net
Mobile based Advertisement Architecture,2007,Android Projects
Color Sorting Machine,2007,C
Electronic Ticketing System,2007,Database
Employee Tracking Using Active RFID,2007,Database
Service Recovery Unit,2007,Database
Electronic Program Guide,2007,Database
Virtual Shell,2007,Java
Net Phone in LAN Using VOIP,2007,Java
Migration of struts framework to Tiger Frameworks,2007,Java
Data Manipulator,2007,Java
Automatic Native Wrapper Code for JAVA,2007,Java
Quick Response Code,2007,Java
Quick RPM Designer (Linux),2007,Linux
Remote Monitoring of LAN Through Mobile Device,2007,Networking
Core Security Tool KIT,2007,Networking
Spying Traffic Rules Violation ,2007,Networking
Image Capturing and Maintaining Home Security,2007,Networking
Friend Net with Tracking System,2007,Networking
A VOIP Based Network ISP using open source Kits and Standards,2007,Networking
Remote OPD,2007,Networking
Global Signing ,2007,Networking
PC Remote Control,2007,Networking
ATM using i-wire Technology based i-button,2007,Networking
Next Generation file System(NGFS),2007,Networking
e-Doc,2007,Networking
System Administration Using Mobile Devices,2007,Networking
LAN Device Manager ,2007,Networking
Network Monitoring and Performance Analysis,2007,Networking
Design alternative for Parallel System,2007,Parallel Processing
Academic Cove,2007,Web Based
HRSMS,2007,Web Based
Electronic Employment Pool,2007,Web Based
E Study Channel,2007,Web Based
Next Generation Stego E-Banking,2008,.net
Artificial Intellegence Based Data Retrieval System,2008,.net
Mobisuite,2008,.net
Online Examination System (OES),2008,.net
Project Management system,2008,.net
SpyCop,2008,.net
Web based ERP S/W for MALLS,2008,.net
Mobilized Network Administrator and Controller,2008,.net
Sales Opportunity Management System,2008,.net
Remotely monitoring performance of server using AJAX,2008,.net
Easy Intranet Solutions,2008,.net
Remotely Agriculture Process,2008,.net
Speech enabled web applicaion,2008,.net
Software Project Management,2008,.net
Remote Query Addresser,2008,.net
Bifurcation of traffic,2008,C
DHG- Social Networking Framework,2008,Computer Science
MAPAGILE 2.0- Software Requirement. Gathering Tool,2008,Computer Science
Integrated Production Management System,2008,Computer Science
"Instant communication Tool- ""Sandesh""",2008,Computer Science
Development of SECS-1 and HSMS for SEMI Automation Tool,2008,Computer Science
Design & Development of Test Automation Framework using Selenium ,2008,Computer Science
Recruitment System for HR Department,2008,Computer Science
Polifolio Tracker ( F&O ),2008,Computer Science
OS Poring and Device Driver Development,2008,Computer Science
LDAP Admin Browser,2008,Computer Science
Web Based Time Tracker and Analyzer,2008,Computer Science
AsterIsk Based IVR server,2008,Computer Science
LDAP Administration Console,2008,Computer Science
Expert System Digitisation For Honeywell Automation India Limited,2008,Computer Science
Multi-View Framework for Simple Web Applications,2008,Computer Science
Human Resource and Information Management System,2008,Computer Science
Online and Mobile CAB Booking,2008,Computer Science
Online Banking System,2008,Computer Science
SSH over Pidgin,2008,Computer Science
Web Site For Blog Building,2008,Computer Science
Material Purchase System,2008,Computer Science
Automatic Panel Builder,2008,Computer Science
Social Networking Website ,2008,Computer Science
"""Telephone Cummunity "" Information Access System",2008,Computer Science
Technical Specification Designer and ABAP Source Code generator,2008,Computer Science
Online Trading System For Multitech Hydrosystem,2008,Computer Science
ClustMark    [File system performance Measurement Tool],2008,Computer Science
Voplot 3D and its Enhancements,2008,Computer Science
Outlook Appointment Synchronizer for Smart Phones,2008,Computer Science
MODBUS Protocol Converter,2008,Computer Science
Online Test Administration,2008,Computer Science
Jenerate,2008,Computer Science
Web Application For Search & Preview,2008,Computer Science
Corporate Web Portal,2008,Computer Science
Fire Fox Plugin For Filtering Search Results,2008,Computer Science
Network Services & Utilities,2008,Computer Science
Newsletter Pro,2008,Computer Science
Touchless Mouse Cursor Using Image Processing,2008,Computer Science
Tale Tool-Tool For  Reqport Genreation,2008,Computer Science
Online Collaborative Spreadsheet,2008,Computer Science
Siem Automation Manager,2008,Computer Science
Issue Tracking And Event Tracking System For Hospital,2008,Computer Science
Wireless E-File Manager,2008,Computer Science
Dashboard For Sjc,2008,Computer Science
Secure Transaction Management,2008,Computer Science
Web Based Employee And Resume Management System,2008,Computer Science
Exterprises Resource Management System,2008,Computer Science
Jnutella In Mobile,2008,Computer Science
Online Examination Management,2008,Computer Science
Smart Media Player And  I-Radio,2008,Computer Science
Video Blog,2008,Computer Science
Data Migration In Hetrogenwous Environments,2008,Computer Science
Server Configuration Manager,2008,Computer Science
Developing A Steganography Using C#,2008,Computer Science
Multiplex Mobile Computing System,2008,Computer Science
Wiless Lab Monitoring  And Controlling Tool,2008,Computer Science
Pdf Scout,2008,Computer Science
Human Resoruces Management Sys,2008,Computer Science
Arm Loader,2008,Computer Science
Demand Mail Access,2008,Computer Science
Info Global Tours,2008,Computer Science
Time And Location Based Reminder System,2008,Computer Science
Database Adminsitration Using Web –Based User Interface,2008,Computer Science
Two Dimensional Bar Code,2008,Computer Science
Multichaneled Financial Application,2008,Computer Science
Rol Based Acce3Ss Controling Banking Mangment Information System,2008,Computer Science
Financial Budget Application,2008,Computer Science
Core Banking Consumers & Corprorate ,2008,Computer Science
Ca-L-Win ,2008,Computer Science
Streaming Server ,2008,Computer Science
It User Calls And Inventory Management System E-Guidelines,2008,Computer Science
Computer Networking Solutions ,2008,Computer Science
Iris Recognition ,2008,Computer Science
Bluetooth Gateway ,2008,Computer Science
Ozon Intelligent,2008,Computer Science
